val/loss,epoch,step,train/loss,grad_norm.net.layer.D,grad_norm.net.layer.kernel.C,grad_norm.net.layer.kernel.inv_dt,grad_norm.net.layer.kernel.B,grad_norm.net.layer.kernel.A_real,grad_norm.net.layer.kernel.A_imag,grad_norm.net.layer.kernel.P,grad_norm.net.output_linear.0.weight,grad_norm.net.output_linear.0.bias,grad_norm.encoder.U.weight,grad_norm.encoder.U.bias,grad_norm.decoder.U.weight,grad_norm.decoder.U.bias,test/loss
14.113936424255371,0,0,,,,,,,,,,,,,,,
,0,49,3.5961363315582275,0.024719685399964393,0.004945983143978556,0.16489961553259214,0.0009697059465105905,0.002956290404166732,0.005044102135417478,0.00043363992130146013,0.007282104762451453,0.003989479255162556,0.026416875478928743,0.19876410690210178,0.06670633031391937,0.029855320892964398,
,0,99,1.3134068250656128,0.10463951076678236,0.11262998842237143,0.20245247505898567,0.07235997608951843,0.04017872014574751,0.8343107014363158,0.07082329011171423,0.13220537091475204,0.10452893969436347,0.07712920956754898,4.9254257643339185,0.08653290055974192,0.735391475037434,
,0,149,0.3530273139476776,0.0022923598540465703,0.0046845669758774165,0.011625167666832647,0.0019823986696081465,0.002950948914492782,0.05552242039171598,0.0034386222916154667,0.006696659760490883,0.003215077734141533,0.005701905780626867,0.11733190922767148,0.02117297795823386,0.02098022720539952,
,0,199,0.29506805539131165,0.0668225588737782,0.10612112079717168,0.056535954309443526,0.07375354456557137,0.0572931917490746,1.4409607139845941,0.08486601101560308,0.09010916874908678,0.07382742274587178,0.05715660608487394,4.539830867170035,0.09689377580189416,0.44959421824077944,
,0,249,0.9515026807785034,0.7137854140946747,0.4918794603685719,0.05326198663990929,0.40436778333326273,0.32144300292693273,5.582713207914377,0.3145996806942417,1.1101178138558963,0.7781493926748075,0.20212160637233287,48.57349171590845,0.7899320212314695,5.032584387303902,
0.8214670419692993,0,249,,,,,,,,,,,,,,,
,1,299,0.2514640688896179,0.037864769244237734,0.03472685049502573,0.04888877105695716,0.02837647830299583,0.02109810197366399,0.37221305363451157,0.018065189525069518,0.08022859945612448,0.06719055957135203,0.021045992535485197,4.168092446131275,0.07935478144047159,0.42628734469283797,
,1,349,0.44402214884757996,0.15921867300757206,0.1006939642479546,0.020143250409203013,0.09075944654845391,0.06927674145808466,0.9874730343762558,0.04940494052930218,0.33422831899318284,0.2870227137279271,0.13771795210474838,15.141339658434813,0.4230250447774658,2.1501351359616594,
,1,399,0.13975511491298676,0.01578134441469411,0.011764080841616098,0.000917597037218994,0.01039659198544584,0.008706008889871955,0.10793838857659113,0.0052221979833683,0.03920249196988603,0.0390126902169736,0.01779085540875843,2.350460352203296,0.08591742817817566,0.30404387988095605,
,1,449,0.07104077190160751,0.006180321103894299,0.001324987706282417,0.00350050293204183,0.0012255491390252935,0.0005441384071426723,0.008351935891658713,0.0003674548963063278,0.006198757471312078,0.0044622051707073965,0.009284282188456323,0.3240993654265101,0.013970647599232285,0.032871069632373184,
,1,499,0.059264298528432846,0.012932323809595291,0.006011001901177979,0.0030235587806178377,0.005993505477649413,0.0032741640915666,0.1202582548122814,0.0019397968942164326,0.029475237558729047,0.028928330077033288,0.03850550399289518,1.6587986380163193,0.06499976864756929,0.1881570203554218,
0.03893372416496277,1,499,,,,,,,,,,,,,,,
0.03893372416496277,2,500,,,,,,,,,,,,,,,
,2,500,,,,,,,,,,,,,,,0.03936585411429405
