val/loss,epoch,step,train/loss,grad_norm.net.W.weight,grad_norm.net.P.weight,grad_norm.net.g.linear1.weight,grad_norm.net.g.linear1.bias,grad_norm.net.g.linear2.weight,grad_norm.net.g.linear2.bias,grad_norm.net.f.linear1.weight,grad_norm.net.f.linear1.bias,grad_norm.net.f.linear2.weight,grad_norm.net.f.linear2.bias,grad_norm.encoder.U.weight,grad_norm.encoder.U.bias,grad_norm.decoder.U.weight,grad_norm.decoder.U.bias,test/loss
14.768034934997559,0,0,,,,,,,,,,,,,,,,
,0,49,14.288912773132324,1.03179455839103e-17,2.4208491504449806e-17,1.5846030130441818e-19,9.539176746575361e-20,1.0875996971249807e-19,8.595657937274935e-20,1.766645077146426e-16,2.645655501173462e-21,2.04442469204852e-06,1.6346577937063064e-05,1.5894111565011426e-18,3.660717046839564e-19,0.0005405590698247052,0.06438491399385898,
,0,99,14.06273365020752,4.7296737743920596e-18,7.007865012657982e-18,3.048785910105256e-20,1.2839114295154991e-20,2.830662390302883e-20,1.1197367471587753e-20,9.394328352295869e-17,1.0906909909098302e-21,3.5771754067802696e-08,2.47056992744794e-05,2.3628450314543635e-19,2.654105248035219e-20,0.00020196973791094215,0.25028976997725166,
,0,149,15.156630516052246,2.122263026346721e-18,6.3463932746127054e-18,2.2696246548979176e-18,1.2360683393103909e-18,7.444649219375921e-19,7.1019168179655395e-19,6.37330432195157e-17,9.165596986119341e-22,7.957126835331647e-09,2.4522481715260556e-05,2.485672445995289e-17,4.423960748806086e-18,0.0002731055044601957,0.33629805773188437,
,0,199,15.657464981079102,3.683729767246816e-20,1.1722940258663967e-19,1.9106901274621567e-21,1.1176715579166333e-21,1.502156101369484e-21,8.014543961179815e-22,1.0877207602401313e-18,6.050362578426598e-23,2.0498600416956354e-08,2.942255237816973e-06,1.8604074012588433e-20,2.7638054790632906e-21,1.817392922900261e-05,0.12624736297180209,
,0,249,15.321314811706543,2.9164160183505036e-19,8.602674076912573e-19,4.961818653594656e-21,3.438989805656235e-21,1.434471319814685e-20,2.7219223060395797e-21,1.060703044656857e-17,1.3920068232147252e-22,2.969047911440567e-08,1.7092145851100535e-06,1.9915564632827566e-20,3.773510127027993e-21,1.730046184817676e-05,0.05166431684745189,
14.934648513793945,0,249,,,,,,,,,,,,,,,,
,1,299,15.173982620239258,4.5780530741612234e-17,7.726704126867693e-17,8.06300233077427e-21,9.381221322699673e-21,2.67382636735735e-20,2.1920910332128858e-20,3.7329975515026273e-16,2.078674758649869e-21,7.161609295634499e-05,4.3021845473296016e-05,4.4941554314524365e-20,1.8443720084327092e-20,0.37324772502575054,0.39489950249126876,
,1,349,15.047497749328613,2.380019544749795e-18,2.7753002984153312e-18,9.535923968591557e-21,4.083188223696937e-21,5.5186753976800106e-21,5.315599282727893e-21,2.8280128396877055e-17,6.267024959630123e-22,2.703858101790915e-06,9.843124389881507e-08,6.175862338481025e-20,5.051784273902072e-21,0.0028449207844529,0.0017889514433415718,
,1,399,15.207643508911133,1.2773828117496267e-18,9.774010290321982e-18,3.230405336409642e-19,1.2116541661245843e-19,9.229697618908506e-20,8.807996314948363e-20,1.0108579236710042e-16,1.9687865280057476e-21,6.448018818726113e-07,4.570733474532983e-06,3.251619060509048e-18,3.617728692497903e-19,0.0004288834433190887,0.04549819171277756,
